Category,Merchant Name,Address,City
Restaurantes,RESTAURANTE INTERNACIONAL NUEVA FU HUA,AV. PAJARITOS 2944,Maipu
Patio de comida,BURGER KING PAJARITOS MAIPU,PAJARITOS 2973,Maipu
Casinos,PATODOS,5 DE ABRIL 620,Maipu
Restaurantes,KALÉNDULA,CENTRAL GONZALO PEREZ LLONA 320 LOCAL 4,Maipu
Patio de comida,PIZZA PIZZA PAJARITOS 3010,PAJARITOS 3010,Maipu
Minimarket,WORK IN,AVENIDA PAJARITOS 3030,Maipu
Restaurantes,SAMI SUSHI II,PRESIDENTE KENNEDY 2990,Maipu
Restaurantes,SAMI SUSHI II,PRESIDENTE KENNEDY 3012,Maipu
Restaurantes,PANADERÍA Y PASTELERÍA SAMI,COVADONGA 3151,Maipu
Restaurantes,INVERSIONES MC SPA,CAMINO A RINCONADA 876 LOCAL A,Maipu
Restaurantes,LOTUS FLOWER,LOS PAJARITOS 3256,Maipu
Restaurantes,MEI SUSHI,LIBERTAD 620 LOCAL A,Maipu
Restaurantes,FUENTE PLAZA,ESQUINA BLANCA 500,Maipu
Restaurantes,SAN CAMILO SUCURSAL 37,PAJARITOS 3325 INTERIOR METRO STGO BUERAS,Maipu
Restaurantes,KEF FUSION SABORES,RAFAEL RIESCO BERNALES 609,Maipu
Minimarket,AMOR A GRANEL,LOS ARTILLEROS 715,Maipu
Restaurantes,FOOD DELIVERY,EL OLIMPO 2380,Maipu
Supermercados,GET IT ALAMEDA,LIB. BERNARDO O'HIGGINS 640 LOCAL 3,Santiago
Supermercados,LIDER EXPRESS SEGUNDA TRANSVERSAL,SEGUNDA TRANSVERSAL 1022,Maipu
Supermercados,SANTA SABEL PADRE HURTADO,CAMINO MELIPILLA 2390 LOCAL 1,Padre Hurtado
Supermercados,LIDER ACUENTA BA CARMEN MAIPU,SUR 411,Maipu
Supermercados,JUMBO PAJARITOS,CAMINO PAJARITOS 3302,Maipu
Supermercados,SANTA ISABEL MAIPU,CAPELLAN FLORENCIO INFANTE 3330,Maipu
Supermercados,CASTAÑO S-HCA2,CAMINO RINCONADA 1201 MÓDULO 1 PISO 1,Maipu
Supermercados,CASTANO S-HCA1,CAMINO RINCONADA 1201,Maipu
Supermercados,S10 MAIPU 2,2 NORTE 1373,Maipu
Supermercados,LIDER EXPRESS EL OLIMPO,EL OLIMPO 1990,Maipu
Minimarket,TWIST MARKET DOWNTOWN,BERNARDO O´HIGGINS 1449 LOCAL 1,Santiago
Patio de comida,"PEDRO, JUAN Y DIEGO, ESPACIO URBANO MAIPU",RAMON FREIRE 1790 LOCAL 3004,Maipu
Minimarket,WORK IN GUILLERMO SOTOMAYOR,GUILLERMO SOTOMAYOR 3467,Maipu
Restaurantes,CRISTIAN RODRIGO FIGUEROA VILLALOBOS,AV PAJARITOS 3830 3830,Maipu
Restaurantes,TUCAJAVERDE,NUEVA SAN MARTIN 1290,Maipu
Minimarket,DONDE EL TOTY,AGUSTIN RIESGO 4252,Maipu
Restaurantes,PIZZA NÁPOLES,NUEVA SAN MARTÍN 1298 LOCAL 4,Maipu
Restaurantes,LA TERRAZA FAMILIAR DEL OLIMPO,EL OLIMPO 272,Maipu
Patio de comida,SUBWAY,LO ESPEJO 943 LOCA SA1,Maipu
Restaurantes,AXEL GEREMY RAILHET HERNANDEZ,LAS TINAJAS CASA 2086,Maipu
Patio de comida,MAXIK VIVO OUTLET,LO ESPEJO 943,Maipu
Restaurantes,STREET WRAP,AV AMERICO VESPUCIO 51 LOCAL 117,Maipu
Minimarket,PAULA ANDREA SOTO CRISOSTOMO,AV.BERNARDO OHIGGINS 2028,Maipu
Restaurantes,PIFFAUT EYSYMONTT,PRESIDENTE DE GAULLE 43 PRESIDENTE DE GAULLE,Maipu
Minimarket,COMERCIAL MPRADENAS SPA AMERICO VESPUCIO,AMERICO VESPUCIO 490 LOCAL 3,Maipu
Restaurantes,GOHAN ROLLS EL ROSAL,EL ROSAL 4078,Maipu
Restaurantes,JOSE RODRIGO SALVO ROMERO,PASAJE LICEO MAIPU 844,Maipu
Patio de comida,SUBWAY,AVDA AMERICO VESPUCIO 399 LOCAL 2 21,Maipu
Restaurantes,YANINA ANDREA CARVAJAL ESCOBAR,LAS GOLONDRINAS ORIENTE 4143,Maipu
Patio de comida,PIZZA PIZZA TRES PONIENTE 876,TRES PONIENTE 876,Maipu
Restaurantes,LOS DISTINGUIDOS,3 PONIENTE 800,Maipu
Restaurantes,PANADERÍA URBANA,JORGE ALESSANDRI 944 LOCAL 2,Maipu
Restaurantes,STARBUCKS COFFEE MALL ARAUCO MAIPU,AMERICO VESPUCIO 399 MODULO 02-03,Maipu
Restaurantes,MARLEY COFFEE ARAUCO MAIPU,"AMERICO VESPUCIO 399 SM 2-15, INTERIOR DE MALL ARAUCO MAIPU",Maipu
Patio de comida,PLATON ARAUCO MAIPU,AMERICO VESPUCIO 399 LOCAL 23,Maipu
Supermercados,LIDER EXPRESS SAN PABLO,SAN PABLO 1 esquina General Bulnes,Santiago
Supermercados,LIDER EXPRESS MAIPU,RAMON FREIRE 1790,Maipu
Supermercados,ERBI 9034,SUR 1147,Maipu
Supermercados,SANTA ISABEL 3 PONIENTE,3 PONIENTE 2600,Maipu
Supermercados,LIDER EXPRESS PRIMO DE RIVERA,PRIMO DE RIVERA 1447,Maipu
Supermercados,LIDER MAIPU 3 PONIENTE,TRES PONIENTE 900,Maipu
Supermercados,OXXO OUTLET PATIO MAIPÚ,LO ESPEJO 943 L1032,Maipu
Supermercados,UNIMARC SEGUNDA TRANSVERSAL - MAIPU,SEGUNDA TRANSVERSAL 4090,Maipu
Supermercados,S10 CERRILLOS,AMERICO VESPUCIO 1601,Cerrillos
Supermercados,SANTA ISABEL EL ROSAL,EL ROSAL 3999 LA FARFANA,Pudahuel
Supermercados,LIDER EXPRESS GALILEO,GALILEO 1610,Cerrillos
Supermercados,CASTANO AMAI,AMERICO VESPUCIO 399 LOCAL 537  MALL ARAUCO MAIPU,Maipu
Supermercados,OKM MALL ARAUCO MAIPU,AMERICO VESPUCIO 399 LOCAL B03,Maipu
Patio de comida,EMPORIO LA ROSA,AMERICO VESPUCIO 399 LOCAL S-09,Maipu
Patio de comida,DUNKIN' DONUTS MAM,AMERICO VESPUCIO 399 LOCAL 641,Maipu
Patio de comida,BUFFALO WAFFLES ARAUCO MAIPU,AMERICO VESPUCIO 399 ESPACIO 2-16 MALL ARAUCO,Maipu
Restaurantes,WWW.BOBIBOBICHILE.CL,"AMÉRICO VESPUCIO 399 LOCAL 328, MALL ARAUCO MAIPÚ",Maipu
Patio de comida,JUAN MAESTRO AMÉRICO VESPUCIO 399,AMÉRICO VESPUCIO 399 LOCAL 12 A,Maipu
Restaurantes,PUNTO Y CORA,LA REFORMA 207,Maipu
Patio de comida,KFC ARAUCO MAIPU,AMÉRICO VESPUCIO 642,Maipu
Restaurantes,TIP-TOP MAIPU,AMERICO VESPUCIO 399 LOCAL SM1,Maipu
Minimarket,XS ARAUCO MAIPU,AMERICO VESPUCIO 399 LOCAL 401,Maipu
Patio de comida,STARBUCKS MALL ARAUCO MAIPU,AMERICO VESPUCIO 399 LOCAL 321-323,Maipu
Patio de comida,KFC ARAUCO MAIPU,AMERICO VESPUCIO 399 LOCAL 158,Maipu
