Category,Merchant Name,Address,City
Patio de comida,DOMINO´S PIZZA MACUL,MACUL 3023,Macul
Patio de comida,BURGER KING MACUL,JOSE PEDRO ALESSANDRI 2886,Macul
Restaurantes,XINYI RESTAURANT E.I.R.L,MACUL 2706,Macul
Restaurantes,FLOR ORIENTAL,MACUL 2706,Macul
Minimarket,VEGGIEMANIA,EXEQUIEL FERNANDEZ 3315,Macul
Minimarket,VEGGIEMANIA MACUL,EXEQUIEL FERNANDEZ 3305 LOCAL G01,Macul
Restaurantes,MINIMARKET GERY,QUILIN 3375,Macul
Restaurantes,FORK MACUL,MACUL 2555 LOCAL 7,Macul
Restaurantes,STARBUCKS COFFEE JOSE PEDRO ALESSANDRI,MACUL 2400,Macul
Supermercados,ERBI 9015,MAYOR ABE 3145 AL 3157,Macul
Supermercados,OKM MACUL,MACUL 3440,Macul
Supermercados,UNIMARC MACUL,MACUL 3578 3594-3608-3624,Macul
Supermercados,LIDER MACUL,JOSE PEDRO ALESSANDRI 2127,Macul
Supermercados,OKM CHICUREO,CAMINO CHICUREO- FONDOEL CASTILLO 0 LOTE 2-C3 LOCAL 2,Colina
Restaurantes,SUSHI MAX,LIBANO 2728,Macul
Restaurantes,MI CIELO TOSCANO,JOSE PEDRO ALESANDRI 1613,Ñuñoa
Patio de comida,KAMI SUSHI MACUL,AVENIDA MACUL 4591,Macul
Restaurantes,PANADERIA VILLA LA CATOLICA,AVENIDA RAMON CRUZ MONTT 2525,Macul
Restaurantes,MICROCAFE,CAPITAN IGNACIO CARRERA PINTO 1045,Ñuñoa
Restaurantes,TERCER TIEMPO CAFETERIA,IGNACIO CARRERA PINTO 1045,Ñuñoa
Casinos,CASINO FACULTAD DE ARTES U DE CHILE,LAS ENCINAS 3370,Ñuñoa
Restaurantes,DON TOMAS,AVENIDA CAPITAN IGNACIO CARRERA PINTO 1045,Ñuñoa
Casinos,NURYS LOCAL BLANCO,IGNACIO CARRERA PINTO 1045,Ñuñoa
Casinos,NURYS 5,IGNACIO CARRERA PINTO 1045 LOCAL PONIENTE (U DE CHILE),Ñuñoa
Restaurantes,COFFEEBREK,LAS PALMERAS 3425,Ñuñoa
Casinos,TIA MIREYA,LAS PALMERAS 3425,Ñuñoa
Restaurantes,CAFETERIA BONISIMO ÑUÑOA,JOSE PEDRO ALESSANDRI 1242,Ñuñoa
Restaurantes,MEBA FOOD SERVICE SPA,AV. JOSÉ PEDRO ALESSANDRI 1242,Ñuñoa
Casinos,TIA MIREYA,LAS PALMERAS 3425,Ñuñoa
Patio de comida,PIZZA PIZZA J.P. ALESSANDRI 4470,J.P. ALESSANDRI 4470,Macul
Patio de comida,"PEDRO, JUAN Y DIEGO ÑUÑOA",JOSE PEDRO ALESSANDRI 1166 LOCAL 4521,Ñuñoa
Patio de comida,FRUTOS ALESSANDRI,JOSE PEDRO ALESANDRI 1166 LOCAL 4533,Ñuñoa
Restaurantes,INVERSIONES CUEVAS MENDOZA SPA,AZAPA 13 3843,Ñuñoa
Patio de comida,STARBUCKS MALL PASEO QUILIN,AMERICO VESPUCIO 3300 MALL PASEO QUILIN,Peñalolen
Patio de comida,BURGER KING PORTAL ÑUÑOA,JOSE PEDRO ALESSANDRI 1166 LOCAL 4501,Ñuñoa
Minimarket,MAXIK PORTAL ÑUÑOA 2,JOSE PEDRO ALLESANDRI 1132 LOCAL 1006,Ñuñoa
Restaurantes,EL MASTER,ESCUELA AGRICOLA 1595,Macul
Patio de comida,SUSHI BLUES PORTAL ÑUÑOA,JOSE ALESSANDRI 1166 LOCAL 4525,Ñuñoa
Patio de comida,PORTAL ÑUÑOA 2,AV. JOSE PEDRO ALESANDRI 1166 PORTAL ÑUÑOA,Ñuñoa
Patio de comida,DUNKIN' DONUTS ÑUÑOA,JOSE PEDRO ALESSANDRI 1132 LOCAL 2005,Ñuñoa
Casinos,CASA PREMIUM INACAP,VICUNA MACKENNA 3864,Macul
Casinos,ACHOCLONADOS MACUL,VICUNA MACKENNA 3864 INACAP ACCESO SUR,Macul
Casinos,INACAP SANTIAGO SUR,VICUÑA MACKENNA 3864 AL INTERIOR DE INACAP,Macul
Casinos,NURYS 3,DOCTOR LUIS BISQUERT 2765 INTERIOR UMCE,Ñuñoa
Restaurantes,HOT PANCHOS,AV ESCUELA AGRICOLA 1565,Macul
Casinos,CAFETERIA NURY´S LUIS BISQUERT,DOCTOR LUIS BISQUERT 2767,Ñuñoa
Casinos,CAFETERIA U DE CHILE FACULTAD FILOSOFIA,PASAJE JOSE PEDRO ALESSANDRI 1242,Ñuñoa
Patio de comida,LOMITO ALEMAN,GRECIA 3107,Ñuñoa
Restaurantes,CAFETERIA MIRELLE CASTILLO GUIZADA E.I.R.L.,CORDILLERA 1132,Ñuñoa
Patio de comida,STARBUCKS PORTAL NUNOA,JOSÉ PEDRO ALESSANDRI 1166 LOCAL 3004,Ñuñoa
Patio de comida,KFC PORTAL ÑUÑOA,JOSE PEDRO ALESSANDRI 1166 LOCAL 4513,Ñuñoa
Restaurantes,RESTAURANT FEGAL,ESCUELA AGRICOLA 1521,Macul
Minimarket,CARNICERIA FEGAL,CAMINO AGRICOLA 1515,Macul
Restaurantes,DONDE LEO,JOSE PEDRO ALESSANDRI 1040,Ñuñoa
