Category,Merchant Name,Address,Location
Patio de comida,LATIN PIZZA CARRASCAL,AVENIDA CARRASCAL 4652,Quinta Normal
Casinos,KIOSKO EXPRESS USACH INTERIOR ING INDUSTRIAL,EL BELLOTO 3890 INTERIOR U. SANTIAGO DE CHILE - ECUADOR 3769,Estacion Central
Restaurantes,CAFETERIA CHIJA,LAGUNA SUR 7309,Pudahuel
Patio de comida,K078 KFC TURBUS,LIBERTADOR BERNARDO O´HIGGINS 3750 LOCAL 202-203,Estacion Central
Patio de comida,JUAN MAESTRO ESTACION CENTRAL,LIBERTADOR BERNARDO O´HIGGINS 3750,Estacion Central
Restaurantes,SOCIEDAD COMERCIAL ATENLIS,AVENIDA LIBERTADOR BERNARDO OHIGGINS 3750,Estacion Central
Restaurantes,YOGEN FRUZ,LIBERTADOR BERNARDO O´HIGGINS 3750 LOCAL 212 B,Estacion Central
Restaurantes,SAN CAMILO SUCURSAL 11,LIBERTADOR BERNARDO O´HIGGINS 3750,Estacion Central
Supermercados,LIDER ACUENTA QUINTA NORMAL (MAPOCHO),MAPOCHO 5041,Quinta Normal
Supermercados,UNIMARC PUDAHUEL II,SAN PABLO 8315,Pudahuel
Supermercados,SANTA ISABEL SALVADOR GUTIERREZ,SALVADOR GUTIERREZ 5496 CATAMARCA,Quinta Normal
Supermercados,ALVI TENIENTE CRUZ,TENIENTE CRUZ 570,Pudahuel
Supermercados,LIDER ALAMEDA,PADRE ALBERTO HURTADO 60 (060),Estacion Central
Supermercados,S10 PAJARITOS,GLADYS MARIN 6480,Estacion Central
Supermercados,OXXO METRO GRUTA LOURDES,SAN PABLO 4098 LOCAL 1,Quinta Normal
Supermercados,S10 PAJARITOS II ESTACION CENTRAL,GLADYS MARIN 6664,Estacion Central
Supermercados,LIDER ACUENTA BA TRAVESIA,TRAVESIA 7217,Pudahuel
Supermercados,LIDER EXPRESS LAS REJAS SUR,LAS REJAS SUR 882,Estacion Central
Supermercados,S10 TRAVESÍA,DIAGONAL TENIENTE CRUZ 530,Pudahuel
Supermercados,MAYORISTA S.PABLO 2,SAN PABLO 8537,Pudahuel
Supermercados,UNIMARC PAJARITOS,GLADYS MARIN MILLIE 6950,Estacion Central
Supermercados,LIDER ACUENTA BA CARRASCAL,CARRASCAL 6015,Quinta Normal
Supermercados,OXXO FELIX BULNES,MAPOCHO 7366 LOCAL 2,Cerro Navia
Supermercados,OXXO - EX OKMTERMINAL ALAMEDA,LIBERTADOR BERNARDO O´HIGGINS 3750,Estacion Central
Supermercados,CASTANO TURB,LIBERTADOR BERNARDO O´HIGGINS 3750 LOCAL 104- 105,Estacion Central
Minimarket,OKM TERMINAL DE BUSES 1,LIB. BDO.OHIGGINS 3750 L 121,Santiago
Restaurantes,GRUPO UNIVERSITARIO SPA,DIECIOCHO LOCAL A Y B 105,Santiago
Casinos,CASINO USACH FACULTAD DE INGENIERIA,LIBERTADOR BERNARDO O'HIGGINS 3363,Santiago
Patio de comida,KFC MALL ALAMEDA,LIBERTADOR BERNARDO O´HIGGINS 3470 LOCAL 4004 PISO 4,Santiago
Patio de comida,STARBUCKS COFFEE MALL PLAZA ALAMEDA,LIBERTADOR BERNARDO OHIGGINS 3470 MALL PLAZA ALAMEDA,Santiago
Casinos,ALIMENTOS HEISENBERG ECUADOR,ECUADOR 3363,Santiago
Minimarket,USACH - ESID-PISO 4 - CHINA,ALAMEDA LIBERTADOR BERNARDO O'HIGGINS 3363 PISO 4 - CHINA,Santiago
Minimarket,USACH - GEO ESPACIAL - CHINA,ALAMEDA LIBERTADOR BERNARDO O'HIGGINS 3363 GEO ESPACIAL - CHINA,Santiago
Minimarket,USACH EOA 2,ALAMEDA LIBERTADOR BERNARDO O'HIGGINS 3363,Santiago
Minimarket,USACH - ESID-PISO 6 - CHINA,ALAMEDA LIBERTADOR BERNARDO O'HIGGINS 3363 ESID-PISO 6 - CHINA,Santiago
Minimarket,USACH - MATEMATICA - CHINA,ALAMEDA LIBERTADOR BERNARDO O'HIGGINS 3363 MATEMATICA - CHINA,Santiago
Minimarket,USACH - FISICA 2 - CHINA,ALAMEDA LIBERTADOR BERNARDO O'HIGGINS 3363 FISICA 2 - CHINA,Santiago
Minimarket,USACH FAE NUEVA,ALAMEDA LIBERTADOR BERNARDO O'HIGGINS 3363,Santiago
Minimarket,USACH TECNOLOGIA,ALAMEDA LIBERTADOR BERNARDO O'HIGGINS 3363,Santiago
Minimarket,USACH PERIODISMO NEW CHINA,ALAMEDA LIBERTADOR BERNARDO O'HIGGINS 3363,Santiago
Minimarket,USACH-CASA CENTRAL,ALAMEDA LIBERTADOR BERNARDO O'HIGGINS 3363,Santiago
Restaurantes,SAN CAMILO SUCURSAL 19-F,SAN PABLO 3284,Santiago
Restaurantes,SAN CAMILO SUCURSAL 19-M,SAN PABLO 3284,Santiago
Restaurantes,BRAVAZO,CATEDRAL 3181,Santiago
Restaurantes,LA TROPA,CHACABUCO 49 CHACABUCO,Santiago
Restaurantes,BRAVAZO,HUERFANOS 3044,Santiago
Patio de comida,TARRAGONA ARAUCO EXPOSICIÓN,EXPOSICION 135 LOCAL 1275 A,Santiago
Patio de comida,TARRAGONA EXPOSICIÓN,EXPOSICION 40 LOCAL 314,Santiago
Patio de comida,POLLO EXPRESS,LIBERTADOR BERNARDO O'HIGGINS 3850 LOCAL C,Estacion Central
Minimarket,CASTAÑO TSUR,LIBERTADOR BERNARDO OHIGGINS 3850 LOCAL 11-12-27-28 Y 29,Estacion Central
Patio de comida,SUBWAY TERMINAL SUR,LIBERTADOR BERNARDO OHIGGINS 3850 TERMINAL SUR,Estacion Central
Restaurantes,KIOSCO FACTEC,VÍCTOR JARA 3659 SECTOR 2,Estacion Central
Restaurantes,REDI CAFÉ & MINIMARKET,EL BELLOTO 3648,Estacion Central
Restaurantes,SAN CAMILO SUCURSAL 2,LIBERTADOR BERNARDO O´HIGGINS 3301,Estacion Central
Restaurantes,1/2 URBANO,CARRASCAL 4502,Quinta Normal
Minimarket,RINCON DE OBRAS,ECUADOR 3659,Estacion Central
Patio de comida,FOODTRUCK RUIZ TAGLE,ECUADOR 3650 INTERIOR DEL CAMPUS UNIVERSITARIO,Estacion Central
Restaurantes,WAU ESTACION CENTRAL,LIBERTADOR BERNARDO OHIGGINS 3750 LOCAL 214,Estacion Central
Casinos,KIOSCO PERIODISMO USACH BY OKCA,VICTOR JARA 3650 SECTOR 8 USACH,Estacion Central
Patio de comida,FRIES AND BITES ESTACION CENTRAL,LIBERTADOR BERNARDO O´HIGGINS 3750 LOCAL 209,Estacion Central
Restaurantes,TALIPAN,AVENIDA ECUADOR 3576,Estacion Central
Casinos,ALIMENTOS HEISENBERG LIMITADA,LAS SOPHORAS 3469,Estacion Central
Restaurantes,FACULTAD DEL HAMBRE,WENCESLAO SANCHEZ 91,Estacion Central
Casinos,CASINO VIME,LAS SOPHORAS 119 SECTOR 7) VIME,Estacion Central
Casinos,COFFEE ROMA CUP,AVENIDA VICTOR JARA 3524,Estacion Central
Restaurantes,SERVICIOS GOURMET,EL BELLOTO 3469,Estacion Central
Casinos,CASINO USACH (FAC. ING. ESTADISTICA),EL BELLOTO 3469,Estacion Central
Casinos,ALIMENTOS HEISENBERG EL BELLOTO,EL BELLOTO 3469,Estacion Central
Restaurantes,PALACIO FUSION MAIPU 3,AV. EL ROSAL SANTA CORINA 70 3811,Maipu
Patio de comida,K105 KFC TENIENTE CRUZ,RAMON FREIRE 7299 LOCAL 1,Pudahuel
Casinos,MOVIL GOURMET E.I.R.L,LAS SOPHORAS 175 KIOSKO INTERIOR USACH,Estacion Central
Casinos,PIZZERIA XL,ECUADOR 3488 LOCAL A,Estacion Central
Restaurantes,EL ITALIANO EXPRESS SPA,AV. VICTOR JARA 3470 LOC A,Estacion Central
Casinos,REDI CAFE,LAS SOPHORAS 175 USACH-VICERRECTORIA VINCULACION DEL MEDIO,Estacion Central
Restaurantes,LA PICA DEL PARCE,ECUADOR 3458,Estacion Central
Restaurantes,CAFETERIA CIENCIAS MEDICAS,LIBERTADOR BERNARDO O'HIGGINS 3363,Estacion Central
Casinos,KIOSKO REDY,ALAMEDA 3363,Estacion Central
Casinos,KIOSKO CAIM,LIBERTADOR BERNARDO OHIGGINS 3363 KIOSKO,Estacion Central
Casinos,BUNKER CASINO - CAFETERIA,LIBERTADOR BERNARDO OHIGGINS 3363,Estacion Central
