Category,Merchant Name,Address,City
Restaurantes,QUARZZO,ROGER DE FLOR 2870 A,Las Condes
Minimarket,ALMACEN DEL BARRIO,AVENIDA SALVADOR 1333,Providencia
Restaurantes,NEW YORK DELI,LAS CONDES 11283 LOCAL 101-B,Las Condes
Restaurantes,LA BUENA MESA,PROVIDENCIA 1308 LOCAL 8,Providencia
Restaurantes,CHAN CHAN,SAN DIEGO 335,Santiago
Restaurantes,KAZOKUNH SUSHI,MONEDA 2356,Santiago
Casinos,ACHOCLONADOS DUOC SAN CARLOS DE APOQUINDO,CAMINO AL ALBA 12881,Las Condes
Casinos,CAFETON DUOC ALONSO DE OVALLE,ALONSO DE OVALLE 1586 INTERIOR UNIVERSIDAD DUOC ALONSO DE OVALLE,Santiago
Patio de comida,BUFFALO WAFFLES MERCED,MERCED 315 LOCAL 1,Santiago
Restaurantes,ME GUSTA,ARGOMEDO 56,Santiago
Restaurantes,PICCOLINO PROVIDENCIA,PADRE MARIANO 376 LOCAL 2,Providencia
Restaurantes,LUCHOS,GRAJALES 2506,Santiago
Minimarket,PAN MERCED,VERGARA 416 L1,Santiago
Restaurantes,PAVO REAL BUFFET,HUERFANOS 713 LOCAL 5,Santiago
Restaurantes,MASTICOM,SAN DIEGO 152,Santiago
Restaurantes,LAS PALMAS LAS CONDES,EL BOSQUE 42,Las Condes
Puntos verdes,ALMACÉN RODIAN,TARAPACÁ 771,Santiago
Patio de comida,FORK ISIDORA,ISIDORA GOYENECHEA 3600,Las Condes
Restaurantes,FORK NUEVA LAS CONDES,PRESIDENTE RIESCO 5537 LOCAL 2,Las Condes
Patio de comida,TONY ROMA´S,KENNEDY 5413 LOCAL 370,Las Condes
Patio de comida,C EST SI BON DRUGSTORE,LAS URBINAS 23 LOCAL 33,Providencia
Patio de comida,C EST SI BON STADE FRANCES,MARIANO SÁNCHEZ FONTECILLA 498,Las Condes
Minimarket,DON PAPALO,PEDRO DE VALDIVIA 2066,Providencia
Minimarket,DULCES RUFIKO,PROVIDENCIA 2309,Providencia
